time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2010-06-28T17:07:04.540Z,37.743,-122.556,7.8,2,md,6,221.9,,,pde,pde20100628170704540_7,2013-03-16T01:49:53.031Z,"offshore Northern California",earthquake
2010-06-28T14:47:04.340Z,37.742,-122.552,7.7,3.2,mwr,8,194.8,,,pde,pde20100628144704340_7,2013-03-16T01:49:53.017Z,"offshore Northern California",earthquake
2010-06-15T01:44:42.600Z,37.716,-122.545,7.7,2,md,6,188.4,,,pde,pde20100615014442600_7,2013-03-16T01:49:48.176Z,"offshore Northern California",earthquake
2010-01-02T08:30:55.980Z,37.765,-122.565,11.6,2.2,md,5,188.6,,,pde,pde20100102083055980_11,2013-03-16T01:48:07.414Z,"offshore Northern California",earthquake
2009-06-15T06:05:27.360Z,37.663,-122.502,9.8,2.3,md,5,188,,,pde,pde20090615060527360_9,2013-03-16T01:46:01.105Z,"offshore Northern California",earthquake
2009-05-29T21:32:58.630Z,37.663,-122.507,9.7,2.3,md,4,190,,,pde,pde20090529213258630_9,2013-03-16T01:45:48.338Z,"offshore Northern California",earthquake
2009-05-27T00:31:52.650Z,37.666,-122.503,9.5,2.2,md,9,247.1,,,pde,pde20090527003152650_9,2013-03-16T01:45:46.810Z,"offshore Northern California",earthquake
2008-02-07T13:31:43.210Z,37.639,-122.485,9.6,3.1,ml,7,230.6,,,pde,pde20080207133143210_9,2013-06-20T03:31:52.900Z,"San Francisco Bay area, California",earthquake
2006-12-17T23:55:55.860Z,37.726,-122.535,11.4,2.5,md,5,179.8,,,pde,pde20061217235555860_11,2013-03-16T01:32:43.700Z,"offshore Northern California",earthquake
2005-10-21T18:45:54.570Z,37.644,-122.51,7.4,2.6,md,5,219.4,,,pde,pde20051021184554570_7,2013-03-16T01:26:42.617Z,"offshore Northern California",earthquake
2003-05-26T21:15:29.330Z,37.77,-122.578,8.9,3.4,ml,13,196.8,,,pde,pde20030526211529330_8,2013-03-16T01:14:04.172Z,"offshore Northern California",earthquake
2002-01-26T06:01:16.240Z,37.678,-122.53,7.4,2.7,md,7,,,,pde,pde20020126060116240_7,2013-03-16T01:08:14.286Z,"offshore Northern California",earthquake
2000-04-29T06:04:49.010Z,37.738,-122.551,7.2,2.5,md,,,,,pde,pde20000429060449010_7,2013-03-16T01:01:14.987Z,"offshore Northern California",earthquake
1997-10-27T14:30:50.660Z,37.726,-122.547,9.9,3.1,ml,,,,,pde,pde19971027143050660_9,2013-03-16T00:52:02.179Z,"offshore Northern California",earthquake
1997-08-14T08:53:35.630Z,37.736,-122.547,1.6,3,ml,,,,,pde,pde19970814085335630_1,2013-03-16T00:51:24.051Z,"offshore Northern California",earthquake
1997-05-02T12:31:05.610Z,37.707,-122.516,5,3.2,ml,,,,,pde,pde19970502123105610_5,2013-03-16T00:50:31.925Z,"offshore Northern California",earthquake
1997-03-11T06:33:53.400Z,37.714,-122.567,4.8,3.6,ml,,,,,pde,pde19970311063353400_4,2013-03-16T00:50:00.140Z,"offshore Northern California",earthquake
1997-03-11T06:30:16.310Z,37.712,-122.567,5.3,3.6,ml,,,,,pde,pde19970311063016310_5,2013-03-16T00:50:00.111Z,"offshore Northern California",earthquake
1996-07-01T04:33:05.080Z,37.713,-122.546,10.9,3.4,ml,,,,,pde,pde19960701043305080_10,2013-03-16T00:47:37.989Z,"offshore Northern California",earthquake
1996-03-05T16:16:24.390Z,37.767,-122.574,7.2,2.4,md,,,,,pde,pde19960305161624390_7,2013-03-16T00:46:38.227Z,"offshore Northern California",earthquake
1994-01-02T09:40:07.800Z,37.772,-122.587,10.5,2.7,md,,,,,pde,pde19940102094007800_10,2013-03-16T00:38:31.075Z,"offshore Northern California",earthquake
1994-01-02T03:11:18.230Z,37.769,-122.585,11.3,3,ml,,,,,pde,pde19940102031118230_11,2013-03-16T00:38:30.869Z,"offshore Northern California",earthquake
1993-12-29T17:46:14.000Z,37.629,-122.478,6.1,2.4,md,,,,,pde,pde19931229174614000_6,2013-03-16T00:38:27.414Z,"San Francisco Bay area, California",earthquake
1993-11-24T15:28:04.280Z,37.767,-122.589,9.2,2.4,md,,,,,pde,pde19931124152804280_9,2013-03-16T00:38:08.732Z,"offshore Northern California",earthquake
1993-11-24T15:18:07.990Z,37.768,-122.59,11.8,3.2,ml,,,,,pde,pde19931124151807990_11,2013-03-16T00:38:08.728Z,"offshore Northern California",earthquake
1993-03-09T18:05:39.050Z,37.676,-122.533,8.4,2.5,md,,,,,pde,pde19930309180539050_8,2013-03-16T00:35:25.715Z,"offshore Northern California",earthquake
1993-01-30T21:25:12.680Z,37.633,-122.473,7.2,2.2,md,,,,,pde,pde19930130212512680_7,2013-03-16T00:35:01.676Z,"San Francisco Bay area, California",earthquake
1992-01-22T13:58:58.400Z,37.662,-122.492,6,1.9,ml,,,,,pde,pde19920122135858400_6,2013-03-16T00:31:30.610Z,"San Francisco Bay area, California",earthquake
1992-01-22T13:33:52.500Z,37.658,-122.472,6,2,ml,,,,,pde,pde19920122133352500_6,2013-03-16T00:31:30.608Z,"San Francisco Bay area, California",earthquake
1992-01-17T09:10:56.800Z,37.757,-122.567,10,2.6,ml,,,,,pde,pde19920117091056800_10,2013-03-16T00:31:28.336Z,"offshore Northern California",earthquake
1991-11-25T21:28:38.800Z,37.66,-122.52,12,2.9,ml,,,,,pde,pde19911125212838800_12,2013-03-16T00:31:02.017Z,"offshore Northern California",earthquake
1991-08-31T13:45:16.200Z,37.797,-122.593,3,2.6,ml,,,,,pde,pde19910831134516200_3,2013-03-16T00:30:22.067Z,"offshore Northern California",earthquake
